"simulation","psi","p","surveyLength","intervalLength","nSurveys","radius","placement","instOcc","dailyOcc","seasonOcc","density","logitInstOcc","logitDailyOcc","logitSeasonOcc","Initial_InstantBias","Initial_DailyBias","Initial_SeasonBias","ExponentialDecay_success","ExponentialDecay_predicted_asymptote","ExponentialDecay_sse","ExponentialDecay_predicted_yIntercept","MichaelisMenten_success","MichaelisMenten_predicted_asymptote","MichaelisMenten_sse","MichaelisMenten_predicted_yIntercept","AsymptoticRegression_success","AsymptoticRegression_predicted_asymptote","AsymptoticRegression_sse","AsymptoticRegression_predicted_yIntercept","LogisticGrowth_success","LogisticGrowth_predicted_asymptote","LogisticGrowth_sse","LogisticGrowth_predicted_yIntercept","Gompertz_success","Gompertz_predicted_asymptote","Gompertz_sse","Gompertz_predicted_yIntercept","UpperHingeThreshold_success","UpperHingeThreshold_predicted_asymptote","UpperHingeThreshold_threshold","UpperHingeThreshold_sse","UpperHingeThreshold_predicted_yIntercept","ExpDec_DailyBias","MichaelisMenten_DailyBias","AsymptoticRegression_DailyBias","LogisticGrowth_DailyBias","Gompertz_DailyBias","UpperHingeThreshold_DailyBias","ExpDec_SeasonBias","MichaelisMenten_SeasonBias","AsymptoticRegression_SeasonBias","LogisticGrowth_SeasonBias","Gompertz_SeasonBias","UpperHingeThreshold_SeasonBias","ExpDec_InstBias","MichaelisMenten_InstBias","AsymptoticRegression_InstBias","LogisticGrowth_InstBias","Gompertz_InstBias","UpperHingeThreshold_InstBias"
1,-0.312518272851866,-0.810931602939312,5,"10Days",2,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.300884134580182,-0.433214109368561,-0.577499823654275,TRUE,3.68340506877846,24.4252627626291,-177791.748631584,FALSE,NA,NA,NA,TRUE,3.68340622342657,24.4263611748948,-69317.5533566882,TRUE,3.6474135173665,28.8736055675652,0.00478332965573853,TRUE,3.68355903921081,26.1728720221305,0,TRUE,3.68340570721629,2,24.4245593351073,-6.31822521397787,0.119764865688467,NA,0.119764893307146,0.11888906986023,0.119768548326402,0.119764880959625,-0.0245208485972472,NA,-0.0245208209785684,-0.0253966444254843,-0.0245171659593115,-0.0245208333260893,-0.121616041765543,NA,-0.121616041765543,0.379579788368319,0.378383958234457,-0.11981614637319
2,6.63033068780541,-1.94373935438727,5,"10Days",2,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.849703211963763,0.15558677469118,-0.00131798721358212,TRUE,2327.15164886383,27.5491561105847,0.769364351103377,FALSE,NA,NA,NA,TRUE,2264.36530285812,27.549363432773,0.769358028744195,TRUE,3684.20400245516,23.4934845716958,1.08656876588717,TRUE,71210.1944861383,23.7305423613174,1.00554825019501,TRUE,5.9224373092094,5,27.542805021494,0.769039809110446,0.156904761904762,NA,0.156904761904762,0.156904761904762,0.156904761904762,0.154233254491074,0,NA,0,0,0,-0.00267150741368782,0.534404573254793,NA,0.534403205280949,0.598756246530596,0.583169230562948,0.534334347750246
1,0.178472629305523,-0.832909396270703,10,"10Days",2,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.422884058343292,-0.311214185605451,-0.455499899891165,TRUE,-680.608299009536,50.0596145552245,3.21324412123386,TRUE,6.28188316332434,49.6528748746494,2.96797194729849,TRUE,2.13473652279208,44.8582405318437,-50201.1307169874,TRUE,3.4321806908988,40.4942394142945,3.4321806908988,TRUE,3.19363339040136,48.9210849843494,2.98234129746962,TRUE,2.13476992464286,2,44.8563198499028,-4.76958943140444,-0.855714285714286,0.142419328201578,0.0385195387099404,0.112980978574073,0.104879700517005,0.038522697805089,-1,-0.00186638608413603,-0.105766175575774,-0.0313047357116415,-0.0394060137687093,-0.105763016480625,0.83971360449877,0.829490010267584,-0.121616041765543,0.847079222522816,0.830153917957789,-0.11320354954156
2,0.956895769633566,-1.17865213781955,10,"10Days",2,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.573521055389915,-0.120595381882668,-0.27750014378743,TRUE,1.95049136951527,57.8554489078261,149707.9786598,TRUE,-4765416.96708971,53.7694556518063,4.28638849137056,TRUE,-973.598273928138,53.7749960041206,4.28693690039361,TRUE,3.86107830465062,39.9911885995674,3.86107830465062,FALSE,NA,NA,NA,TRUE,0.810937190219762,9,53.557740213455,4.37532742296368,0.0324049726767855,-0.843095238095238,-0.843095238095238,0.136293243328821,NA,-0.150786060203008,-0.124499789227976,-1,-1,-0.0206115185759411,NA,-0.30769082210777,0.851021199177345,0.837453308629126,0.837460646469742,0.830409680601404,NA,0.838593567488575
1,1.12929648415268,-0.826667238562709,15,"10Days",2,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.634093002604918,-0.100005241343825,-0.244290955629539,TRUE,-0.449869914536444,54.870610101117,2.98304324708593,TRUE,-3.75130354017978,54.9456541945743,2.90963914027057,TRUE,-0.450934004602832,54.8706097617267,2.98262162643873,TRUE,3.7841045614557,54.472532805846,2.88868823873828,TRUE,10.7362302089589,54.7428167376414,2.92297672529856,TRUE,1.72421004566966,2,52.3844896859915,-4.35902955243124,-0.466322590233883,-0.83276616132317,-0.4665755646647,0.122061643500281,0.144263972008878,-0.00704396333185964,-0.610608304519597,-0.977051875608884,-0.610861278950414,-0.0222240707854328,-2.17422768363784e-05,-0.151329677617574,0.830186129968845,0.826704840476113,0.830166784522173,0.825668373254013,0.827354599123139,-0.108986785561524
2,1.12929648417958,-0.826667238571243,15,"10Days",2,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.606730243552772,-0.0873861937198107,-0.244290955624573,TRUE,1.10012196981836,80.6055637264636,4.08704655567894,TRUE,-0.0378121702465331,80.8270177402564,4.09543975839463,TRUE,1.10022820708383,80.6055636342972,4.08714111676502,TRUE,926.531379584634,80.9874564899063,3.70479872795291,TRUE,5190.68234132583,81.0602602752296,3.64406340326594,TRUE,1.37866962242433,9,77.4886186093999,4.0413671687257,-0.0928122797275369,-0.352547154519198,-0.092792375808379,0.156904761904762,0.156904761904762,-0.0443179873056219,-0.249717041632299,-0.50945191642396,-0.249697137713141,0,0,-0.201222749210384,0.834509662131318,0.834645406911386,0.834511197629721,0.82700690572885,0.825541501909545,0.833751261087541
1,1.89994574521552,-0.667136643353814,20,"10Days",2,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.748269343177653,0.0141710992289101,-0.130114615056804,TRUE,2.41426384448229,154.349616005637,-264428.757763126,TRUE,2317157.01467149,159.54248287309,1.07344583683758,TRUE,2.41425227496075,154.351096015874,-55750.401157628,TRUE,7947.81270470247,152.828255912442,0.655271523721421,TRUE,485520.291310962,153.567645192022,0.661980262268784,TRUE,2.41426685059909,2,154.349214677294,-5.04908635736067,0.062194260314991,0.144285714285714,0.0621933885190147,0.144285714285714,0.144285714285714,0.0621944868329632,-0.082091453970723,0,-0.0820923257666993,0,0,-0.0820912274527508,-0.121616041765543,0.62363562444843,-0.121616041765543,0.536581361570199,0.538089044742643,-0.115241742158677
2,1.69588958912776,-0.810925483904116,20,"10Days",2,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.696018328012032,0.0019018907394488,-0.155002871165313,TRUE,1.31659325443298,81.4959259403096,4.15000548110286,TRUE,0.721932582512881,81.8346475328987,4.41887716279824,TRUE,1.31662262830065,81.4959258546593,4.15007000162825,TRUE,1472.29674646289,82.8126404161547,3.35916129517224,TRUE,7816.33211942452,82.9434036347297,3.29415634823357,TRUE,1.46410383971026,8,78.2861113409295,4.17856443438456,-0.054480883646305,-0.170062795227253,-0.0544759870125432,0.156904761904762,0.156904761904762,-0.0309356940456713,-0.211385645551067,-0.326967557132015,-0.211380748917305,0,0,-0.187840455950433,0.835501526343902,0.839116867262804,0.835502512110103,0.817424755709743,0.8152489933108,0.835931889377415
1,1.08885816678013,-0.209720401612005,30,"10Days",2,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.626550604226708,-0.107547639722035,-0.251833354007749,TRUE,1.80943065970691,175.747863169527,2.48379093427822,TRUE,1.65545932361024,175.906534479109,2.22972448125979,TRUE,-381.151627720478,175.789816760432,2.10150613679457,TRUE,2.0900602888102,172.089148305389,2.09005616043337,TRUE,2.0774547716593,172.349274193166,2.07743371187193,TRUE,1.99389492065177,2,165.635148839506,-4.62871442741335,0.00357876454895445,-0.0160867565137154,-0.855714285714286,0.0342190454714097,0.0329782273132107,0.0244403064404989,-0.14070694973676,-0.160372470799429,-1,-0.110066668814304,-0.111307486972503,-0.119845407845215,0.801381621503257,0.781271161922492,0.769433439396277,0.768316885036746,0.76707438805011,-0.111943211655243
2,0.946710391392214,-0.0567872903612496,30,"10Days",2,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.571474329370662,-0.122642107901921,-0.279546869806683,TRUE,2.11953531746188,145.093758607446,4.3290658220554,TRUE,41701.9031412662,147.963446690803,2.10342893160283,TRUE,2.17211384980328,141.454595817886,33529.6795146618,TRUE,229.168465787064,147.908409435562,2.07091980243481,TRUE,105.725150299204,147.924374091434,2.07913436553415,TRUE,2.17210806438327,2,141.45367551147,7.45296195391475,0.0496922210470989,0.156904761904762,0.0546219875253758,0.156904761904762,0.156904761904762,0.0546214563010543,-0.107212540857663,0,-0.102282774379386,0,0,-0.102283305603708,0.838012793989501,0.742257205535064,0.851021199177345,0.739065641413368,0.739879746057136,0.850441813103212
